商品ID,商品カテゴリID
1000001,100
1000002,100
1000003,100
1000004,100
1000005,100
1000006,100
1000007,100
1000008,100
1000009,100
1000010,100
1000011,100
1000012,100
1000013,100
1000014,100
1000015,100
1000016,100
1000017,100
1000018,100
1000019,100
1000020,100
1000021,100
1000022,100
1000023,100
1000024,100
1000025,100
1000026,100
1000027,100
1000028,100
1000029,100
1000030,100
1000031,100
1000032,100
1000033,100
1000034,100
1000035,100
1000036,100
1000037,100
1000038,100
1000039,100
1000040,100
1000041,100
1000042,100
1000043,100
1000044,100
1000045,100
1000046,100
1000047,100
1000048,100
1000049,100
1000050,100
1000051,100
1000052,100
1000053,100
1000054,100
1000055,100
1000056,100
1000057,100
1000058,100
1000059,100
1000060,100
1000061,100
1000062,100
1000063,100
1000064,100
1000065,100
1000066,100
1000067,100
1000068,100
1000069,100
1000070,100
1000071,100
1000072,100
1000073,100
1000074,100
1000075,100
1000076,100
1000077,100
1000078,100
1000079,100
1000080,100
1000081,100
1000082,100
1000083,100
1000084,100
1000085,100
1000086,100
1000087,100
1000088,100
1000089,100
1000090,100
1000091,100
1000092,100
1000093,100
1000094,100
1000095,100
1000096,100
1000097,100
1000098,100
1000099,100
1000100,100
1000101,100
1000102,100
1000103,100
1000104,100
1000105,100
1000106,100
1000107,100
1000108,100
1000109,100
1000110,100
1000111,100
1000112,100
1000113,100
1000114,100
1000115,100
1000116,100
1000117,100
1000118,100
1000119,100
1000120,100
1000121,100
1000122,100
1000123,100
1000124,100
1000125,100
1000126,100
1000127,100
1000128,100
1000129,100
1000130,100
1000131,100
1000132,100
1000133,100
1000134,100
1000135,100
1000136,100
1000137,100
1000138,100
1000139,100
1000140,100
1000141,100
1000142,100
1000143,100
1000144,100
1000145,100
1000146,100
1000147,100
1000148,100
1000149,100
1000150,100
1000151,100
1000152,100
1000153,100
1000154,100
1000155,100
1000156,100
1000157,100
1000158,100
1000159,100
1000160,100
1000161,100
1000162,100
1000163,100
1000164,100
1000165,100
1000166,100
1000167,100
1000168,100
1000169,100
1000170,100
1000171,100
1000172,100
1000173,100
1000174,100
1000175,100
1000176,100
1000177,100
1000178,100
1000179,100
1000180,100
1000181,100
1000182,100
1000183,100
1000184,100
1000185,100
1000186,100
1000187,100
1000188,100
1000189,100
1000190,100
1000191,100
1000192,100
1000193,100
1000194,100
1000195,100
1000196,100
1000197,100
1000198,100
1000199,100
1000200,100
1000201,100
1000202,100
1000203,100
1000204,100
1000205,100
1000206,100
1000207,100
1000208,100
1000209,100
1000210,100
1000211,100
1000212,100
1000213,100
1000214,100
1000215,100
1000216,100
1000217,100
1000218,100
1000219,100
1000220,100
1000221,100
1000222,100
1000223,100
1000224,100
1000225,100
1000226,100
1000227,100
1000228,100
1000229,100
1000230,100
1000231,100
1000232,100
1000233,100
1000234,100
1000235,100
1000236,100
1000237,100
1000238,100
1000239,100
1000240,100
1000241,100
1000242,100
1000243,100
1000244,100
1000245,100
1000246,100
1000247,100
1000248,100
1000249,100
1000250,100
1000251,100
1000252,100
1000253,100
1000254,100
1000255,100
1000256,100
1000257,100
1000258,100
1000259,100
